wind A up,(会合など)を)Aを終わりにする（動）
wisdom,知恵（名）
without A,Aがなかった[いなかった]なら（前）
would have done,…していただろう（動）
yet,しかし(それでも)(接)
A is to blame for B,BはAのせいだ（動）
A on board,(飛行機などに)乗っているA（形）
Vienna,(オーストリアの首都)ウィーン（名）
accident,事故（名）
analyze A,Aを分析する（動）
around the clock,昼夜休むことなく（副）
aviation,航空（名）
blow up,(建物などが)爆発する（動）
cabin,(飛行機・船などの)客室（名）
catastrophe,大惨事（名）
cause,原因（名）
crash,(飛行機の)墜落（名）
defect,(機械などの)欠陥（名）
delay A,Aを遅らせる（動）
disaster,惨事（名）
every A,Aごとに（形）
expert,専門家、評論家（名）
express A,Aを表現する（動）
few,(数が)ほとんどない[いない]（形）
flammable,可燃性の（形）
flight,飛ぶこと、(飛行機の)便（名）
in a sense,ある意味では（副）
in detail,細部に（副）
inspect A,Aを(綿密に)検査する（動）
item,品目、アイテム（名）
look into A,Aを調査する（動）
minor,(程度・重要度などが)小さな（形）
ocean,海（名）
on account of A,(好ましくないこと)Aが理由で（前）
on behalf of A,Aの代表[代理]として（前）
passenger,(乗物に)乗る人、乗客（名）
plane,飛行機（名）
plunge into A,Aに勢いよく[激しく]飛びこむ（動）
prohibit,(法律・規則で・行為)禁止する（動）
staff,社員、職員(全体)（名）
statistics,(複数扱い)統計（名）
survive A,(事故など)Aで生き残る（動）
sympathy,同情、共感（名）
unfortunately,不幸[不運]にも（副）
vehicle,車両、乗り物（名）
victim,犠牲者、被害者（名）
Here you are,(物を手渡す時に)はいどうぞ（定）
Sure,もちろん（副）
add A to B,AをBに加える（動）
be amazed to see A,Aを見て(とても)驚く（動）
bill,請求書（名）
borrow A,A(物)を借りる（動）
cell phone,携帯電話（名）
chore,(特に家庭内の)雑用（名）
come to A,(合計が)Aになる（動）
decide to A,Aすることに決める（動）
do with A,Aをどうにかする[扱う]（動）
do without A,Aなしでやっていく（動）
dye A,Aを染める（動）
elbow,(服の)ひじの部分（名）
fabric,織物、生地（名）
faucet,水道の栓（名）
flour,小麦粉（名）
for a rainy day,まさかの時のために（副）
for now,とりあえず（副）
fridge,冷蔵庫（名）
get rid of A,Aを処分する、Aを捨てる（動）
glue,接着剤（名）
go bad,(食べ物などが)腐る、痛む（動）
in a rage,激怒して（副）
lay ... out,…(大金)をつぎ込む（動）
lay A,Aを(そっと)置く（動）
leather,革（名）
leftovers,(食事の)残り物（名）
lid,(箱・鍋などの)蓋（名）
lie down,(体を休めるために)横になる（動）
microwave,電子レンジ（名）
mixture,混合物（名）
necessity,必需品（名）
needle,縫い針（名）
no sooner A than B,Aした途端にBが起こる(構)
on second thought,考え直して（副）
put A aside,(物・お金など)Aを取っておく（動）
relax,くつろぐ（動）
scissors,はさみ（名）
shrink,(服などが)縮む（動）
sit back,ゆったりと座る（動）
so that A will B,AがBするように(構)
something of a A,ちょっとしたA（形）
stir A,Aをかき混ぜる（動）
substitute A for B,AをBの代わりに使う（動）
thick,(スープなどが)濃い、とろみのある（形）
thread,(裁縫用の)糸（名）
tighten A,Aをきつく締める（動）
transparent,透明な（形）
turn A off,A(電気など)を消す、A(水栓)を止める（動）
utility,(公益サービスとしての)電気、ガス、水道（名）
wear out,すり切らす（動）
what should we do,どうしたらよいのでしょう？
yell,(興奮して)…と叫ぶ（動）
As a rule,概して（副）
Why not ?,(勧誘の問いに対して)もちろん（定）
after a while,しばらくして（副）
and so on,など（副）
be dying of A,Aで死にそうだ（動）
be exhausted,疲れ切っている（動）
be tired of A,Aにうんざりしている（動）
big sister,姉、お姉さん（名）
bump into A,Aに(ドンと)ぶつかる（動）
china,陶磁器（名）
come to,意識を回復する（動）
dinosaur,恐竜（名）
do the dishes,食器を洗う（動）
do the laundry,洗濯をする（動）
faint,気を失う（動）
fatigue,(倒れる寸前の)疲労（名）
favorite,(一番の)お気に入りの…（形）
for a while,少しの間（副）
fragment,(割れた)破片（名）
have a lot in common,共通点が多い（動）
hunger,空腹（名）
in A way,Aの点[意味]で（副）
in the way,邪魔よ（副）
keep an eye on A,Aから目を離さない、Aを気を付けて見る（動）
make believe that A,Aの真似をして遊ぶ（動）
mess,散らかって汚い状態[もの]（名）
neighbor,隣の住人（名）
out of order,調子が悪い、故障中の（形）
pastime,余暇の楽しみ（名）
pick A up,(車で)Aを迎えに行く、Aを拾い上げる、Aをナンパする（動）
pleasant,(性格・雰囲気などが)楽しい、心地よい（形）
priceless,とても高価な（形）
put A away,(収納場所に)Aを片付ける（動）
resemble A,Aに(外見などが)似ている（動）
scold A,(子供)Aを叱る（動）
shade,日陰（名）
shatter,粉々になる（動）
shelf,棚（名）
shore,海岸、湖岸（名）
stroll,ぶらぶらと歩く、散歩する（動）
stuff,もの、こと（名）
take a break,一休みする（動）
tell A apart,(複数の人、物)Aを見分ける（動）
tell A off for B,AにがみがみBことで説教をする（動）
thirst,のどの渇き（名）
twin,双子の一方（名）
vending machine,自動販売機（名）
yard,(家の周りの)庭（名）
a number of A,かなりのA
abandon A,Aを見捨てる
aggressive,強引な、押しの強い
apartment,マンション
as long as A,Aである限り
